film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,NULL,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,1,NULL,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,1,NULL,6,2.99,130,22.99,G,"Deleted Scenes","2006-02-15 05:03:42"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,NULL,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
22,"AMISTAD MIDSUMMER","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,1,NULL,6,2.99,85,10.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,NULL,3,2.99,74,15.99,G,Trailers,"2006-02-15 05:03:42"
26,"ANNIE IDENTITY","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park",2006,1,NULL,3,0.99,86,15.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
39,"ARMAGEDDON LOST","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft",2006,1,NULL,5,0.99,99,10.99,G,Trailers,"2006-02-15 05:03:42"
43,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,1,NULL,6,2.99,170,15.99,G,"Behind the Scenes","2006-02-15 05:03:42"
46,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",2006,1,NULL,3,4.99,108,13.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
50,"BAKED CLEOPATRA","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",2006,1,NULL,3,2.99,182,20.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
52,"BALLROOM MOCKINGBIRD","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California",2006,1,NULL,6,0.99,173,29.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
55,"BARBARELLA STREETCAR","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,NULL,6,2.99,65,27.99,G,"Behind the Scenes","2006-02-15 05:03:42"
56,"BAREFOOT MANCHURIAN","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park",2006,1,NULL,6,2.99,129,15.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
58,"BEACH HEARTBREAKERS","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,1,NULL,6,2.99,122,16.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
61,"BEAUTY GREASE","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,4.99,175,28.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
75,"BIRD INDEPENDENCE","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,NULL,6,4.99,163,14.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
77,"BIRDS PERDITION","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,NULL,5,4.99,61,15.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
80,"BLANKET BEVERLY","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria",2006,1,NULL,7,2.99,148,21.99,G,Trailers,"2006-02-15 05:03:42"
82,"BLOOD ARGONAUTS","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",2006,1,NULL,3,0.99,71,13.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
83,"BLUES INSTINCT","A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House",2006,1,NULL,5,2.99,50,18.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
85,"BONNIE HOLOCAUST","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,NULL,4,0.99,63,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
89,"BORROWERS BEDAZZLED","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House",2006,1,NULL,7,0.99,63,22.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
95,"BREAKFAST GOLDFINGER","A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin",2006,1,NULL,5,4.99,123,18.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
97,"BRIDE INTRIGUE","A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans",2006,1,NULL,7,0.99,56,24.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
104,"BUGSY SONG","A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station",2006,1,NULL,4,2.99,119,17.99,G,Commentaries,"2006-02-15 05:03:42"
106,"BULWORTH COMMANDMENTS","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,NULL,4,2.99,61,14.99,G,Trailers,"2006-02-15 05:03:42"
107,"BUNCH MINDS","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention",2006,1,NULL,4,2.99,63,13.99,G,"Behind the Scenes","2006-02-15 05:03:42"
109,"BUTTERFLY CHOCOLAT","A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank",2006,1,NULL,3,0.99,89,17.99,G,"Behind the Scenes","2006-02-15 05:03:42"
119,"CAPER MOTIONS","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,NULL,6,0.99,176,22.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
123,"CASABLANCA SUPER","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station",2006,1,NULL,6,4.99,85,22.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
126,"CASUALTIES ENCINO","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",2006,1,NULL,3,4.99,179,16.99,G,Trailers,"2006-02-15 05:03:42"
127,"CAT CONEHEADS","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India",2006,1,NULL,5,4.99,112,14.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
128,"CATCH AMISTAD","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,NULL,7,0.99,183,10.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
140,"CHEAPER CLYDE","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,NULL,6,0.99,87,23.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
145,"CHISUM BEHAVIOR","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,NULL,5,4.99,124,25.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
146,"CHITTY LOCK","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station",2006,1,NULL,6,2.99,107,24.99,G,Commentaries,"2006-02-15 05:03:42"
153,"CITIZEN SHREK","A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback",2006,1,NULL,7,0.99,165,18.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
154,"CLASH FREDDY","A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia",2006,1,NULL,6,2.99,81,12.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
156,"CLERKS ANGELS","A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon",2006,1,NULL,3,4.99,164,15.99,G,Commentaries,"2006-02-15 05:03:42"
165,"COLDBLOODED DARLING","A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico",2006,1,NULL,7,4.99,70,27.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
166,"COLOR PHILADELPHIA","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,NULL,6,2.99,149,19.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
178,"CONNECTION MICROCOSMOS","A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station",2006,1,NULL,6,0.99,115,25.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
179,"CONQUERER NUTS","A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft",2006,1,NULL,4,4.99,173,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
182,"CONTROL ANTHEM","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery",2006,1,NULL,7,4.99,185,9.99,G,Commentaries,"2006-02-15 05:03:42"
193,"CROSSROADS CASUALTIES","A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback",2006,1,NULL,5,2.99,153,20.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
196,"CRUELTY UNFORGIVEN","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria",2006,1,NULL,7,0.99,69,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
202,"DADDY PITTSBURGH","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico",2006,1,NULL,5,4.99,161,26.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
203,"DAISY MENAGERIE","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",2006,1,NULL,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
206,"DANCING FEVER","A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank",2006,1,NULL,6,0.99,144,25.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
212,"DARN FORRESTER","A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat",2006,1,NULL,7,4.99,185,14.99,G,"Deleted Scenes","2006-02-15 05:03:42"
216,"DAY UNFAITHFUL","A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat",2006,1,NULL,3,4.99,113,16.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
217,"DAZED PUNK","A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park",2006,1,NULL,6,4.99,120,20.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
224,"DESPERATE TRAINSPOTTING","A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California",2006,1,NULL,7,4.99,81,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
226,"DESTINY SATURDAY","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia",2006,1,NULL,4,4.99,56,20.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
230,"DIARY PANIC","A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India",2006,1,NULL,7,2.99,107,20.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
237,"DIVORCE SHINING","A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India",2006,1,NULL,3,2.99,47,21.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
238,"DOCTOR GRAIL","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback",2006,1,NULL,4,2.99,57,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
239,"DOGMA FAMILY","A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans",2006,1,NULL,5,4.99,122,16.99,G,Commentaries,"2006-02-15 05:03:42"
247,"DOWNHILL ENOUGH","A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert",2006,1,NULL,3,0.99,47,19.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
249,"DRACULA CRYSTAL","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House",2006,1,NULL,7,0.99,176,26.99,G,Commentaries,"2006-02-15 05:03:42"
257,"DRUMLINE CYCLONE","A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies",2006,1,NULL,3,0.99,110,14.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
260,"DUDE BLINDNESS","A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House",2006,1,NULL,3,4.99,132,9.99,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
261,"DUFFEL APOCALYPSE","A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention",2006,1,NULL,5,0.99,171,13.99,G,Commentaries,"2006-02-15 05:03:42"
264,"DWARFS ALTER","A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan",2006,1,NULL,6,2.99,101,13.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
271,"EASY GLADIATOR","A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India",2006,1,NULL,5,4.99,148,12.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
